artist_id;artist_name;bio;popularidad;followers;saved_albums;total_albums;spotify_url;image_640x640;image_320x320;image_60x60;last_updated
5hbuFRQbaEGACcoMaenDmF;esteban sehinkman 3;;0;76;0;0;https://open.spotify.com/artist/5hbuFRQbaEGACcoMaenDmF;;;;2022-01-26 00:54:42.737554
5hdVlPot6XAyTMPURRoVyg;la perla irregular;;2;310;6;10;https://open.spotify.com/artist/5hdVlPot6XAyTMPURRoVyg;https://i.scdn.co/image/ab6761610000e5eb87672959bf0feb075356ebb9;https://i.scdn.co/image/ab6761610000517487672959bf0feb075356ebb9;https://i.scdn.co/image/ab6761610000f17887672959bf0feb075356ebb9;2022-01-26 00:54:58.375845
5hfJICKoX0X34piKb8siZB;zomnis;;26;1131;10;10;https://open.spotify.com/artist/5hfJICKoX0X34piKb8siZB;https://i.scdn.co/image/ab6761610000e5eb7076fad110592f1677bdaa79;https://i.scdn.co/image/ab676161000051747076fad110592f1677bdaa79;https://i.scdn.co/image/ab6761610000f1787076fad110592f1677bdaa79;2022-01-26 00:55:15.903437
5hkwobspQ4nluFwhOcv612;inmigrantes;;37;14594;13;15;https://open.spotify.com/artist/5hkwobspQ4nluFwhOcv612;https://i.scdn.co/image/ab6761610000e5eb1927cc1c82d2a44b9a69dc3a;https://i.scdn.co/image/ab676161000051741927cc1c82d2a44b9a69dc3a;https://i.scdn.co/image/ab6761610000f1781927cc1c82d2a44b9a69dc3a;2022-01-26 00:55:34.528741
5hqJBLToa6SwkWofJ6umf7;santo fuego;;0;68;1;1;https://open.spotify.com/artist/5hqJBLToa6SwkWofJ6umf7;https://i.scdn.co/image/ab67616d0000b27344513fe7145e915aeae918eb;https://i.scdn.co/image/ab67616d00001e0244513fe7145e915aeae918eb;https://i.scdn.co/image/ab67616d0000485144513fe7145e915aeae918eb;2022-01-26 00:55:41.400810
5hsEofpGAU0DPWo2t95Wp6;mestizo;;3;115;3;5;https://open.spotify.com/artist/5hsEofpGAU0DPWo2t95Wp6;https://i.scdn.co/image/ab67616d0000b27339fc6a5e1765b5a5d08b8bf0;https://i.scdn.co/image/ab67616d00001e0239fc6a5e1765b5a5d08b8bf0;https://i.scdn.co/image/ab67616d0000485139fc6a5e1765b5a5d08b8bf0;2022-01-26 00:55:51.447405
5i8PuTpMH3WpWmjPIk9fxf;huellas;;0;176;3;3;https://open.spotify.com/artist/5i8PuTpMH3WpWmjPIk9fxf;https://i.scdn.co/image/ab6761610000e5ebaafdad69c0b4c5350d7d94be;https://i.scdn.co/image/ab67616100005174aafdad69c0b4c5350d7d94be;https://i.scdn.co/image/ab6761610000f178aafdad69c0b4c5350d7d94be;2022-01-26 00:55:58.710115
5iBkOOIEEgRYqoPEtl3TWM;estela raval;;33;10202;13;28;https://open.spotify.com/artist/5iBkOOIEEgRYqoPEtl3TWM;https://i.scdn.co/image/ab67616d0000b2736cf4de5183868cb59aced6a7;https://i.scdn.co/image/ab67616d00001e026cf4de5183868cb59aced6a7;https://i.scdn.co/image/ab67616d000048516cf4de5183868cb59aced6a7;2022-01-26 00:56:36.551107
5iIQXw3kjZeDOzp07C2l78;aporinautas;;19;102;6;6;https://open.spotify.com/artist/5iIQXw3kjZeDOzp07C2l78;https://i.scdn.co/image/ab6761610000e5eb01c82ab9ab582733942122c5;https://i.scdn.co/image/ab6761610000517401c82ab9ab582733942122c5;https://i.scdn.co/image/ab6761610000f17801c82ab9ab582733942122c5;2022-01-26 00:56:48.251635
5iJG2H0eufmnvCueObj7z2;maple azul;;1;31;1;1;https://open.spotify.com/artist/5iJG2H0eufmnvCueObj7z2;https://i.scdn.co/image/ab67616d0000b27312155889aab93bf57e23330f;https://i.scdn.co/image/ab67616d00001e0212155889aab93bf57e23330f;https://i.scdn.co/image/ab67616d0000485112155889aab93bf57e23330f;2022-01-26 00:56:54.298441
5iK3R4VGwEze2EhvolXYqh;huge the cara;;6;1545;7;7;https://open.spotify.com/artist/5iK3R4VGwEze2EhvolXYqh;https://i.scdn.co/image/ab6761610000e5eb6221eff3ee961fca3d7e3040;https://i.scdn.co/image/ab676161000051746221eff3ee961fca3d7e3040;https://i.scdn.co/image/ab6761610000f1786221eff3ee961fca3d7e3040;2022-01-26 00:57:04.764497
5iO51fsSObB3htEbZTM0vt;club gong;;6;174;2;3;https://open.spotify.com/artist/5iO51fsSObB3htEbZTM0vt;https://i.scdn.co/image/ab67616d0000b273b8d53d28740c3e28c725307c;https://i.scdn.co/image/ab67616d00001e02b8d53d28740c3e28c725307c;https://i.scdn.co/image/ab67616d00004851b8d53d28740c3e28c725307c;2022-01-26 00:57:14.983466
5iObuPpXhQnJ40Pk2Ydkwr;los shakers;;25;7807;7;14;https://open.spotify.com/artist/5iObuPpXhQnJ40Pk2Ydkwr;https://i.scdn.co/image/ab6761610000e5ebd419c52d1a80c2d5fb4238d7;https://i.scdn.co/image/ab67616100005174d419c52d1a80c2d5fb4238d7;https://i.scdn.co/image/ab6761610000f178d419c52d1a80c2d5fb4238d7;2022-01-26 00:57:37.997266
5ic01b8wsTASX0DnmyytwF;milton arias;;6;233;7;9;https://open.spotify.com/artist/5ic01b8wsTASX0DnmyytwF;https://i.scdn.co/image/ab6761610000e5eb4c640f605daf00359049ff54;https://i.scdn.co/image/ab676161000051744c640f605daf00359049ff54;https://i.scdn.co/image/ab6761610000f1784c640f605daf00359049ff54;2022-01-26 00:57:53.822584
5ieb2Wwodgqd1dWLEeh2ia;rolo abal;;0;67;1;1;https://open.spotify.com/artist/5ieb2Wwodgqd1dWLEeh2ia;https://i.scdn.co/image/ab6761610000e5ebc1eb6811a3fa89f97af02bf8;https://i.scdn.co/image/ab67616100005174c1eb6811a3fa89f97af02bf8;https://i.scdn.co/image/ab6761610000f178c1eb6811a3fa89f97af02bf8;2022-01-26 00:57:59.041685
5inI5n02uciCgEWRxYPifX;púlsar;;0;28;9;9;https://open.spotify.com/artist/5inI5n02uciCgEWRxYPifX;https://i.scdn.co/image/ab6761610000e5eb9ecaf2b487acc1ec04c0459e;https://i.scdn.co/image/ab676161000051749ecaf2b487acc1ec04c0459e;https://i.scdn.co/image/ab6761610000f1789ecaf2b487acc1ec04c0459e;2022-01-26 00:58:15.054523
5jB0jaycNVA3GQvvuDxwpa;dr moe;;0;115;4;4;https://open.spotify.com/artist/5jB0jaycNVA3GQvvuDxwpa;https://i.scdn.co/image/ab6761610000e5ebda8bb579135eda216418bf52;https://i.scdn.co/image/ab67616100005174da8bb579135eda216418bf52;https://i.scdn.co/image/ab6761610000f178da8bb579135eda216418bf52;2022-01-26 00:58:23.254300
5jHALTUJMAFsdqdbxzXWEw;julian mourin;;13;917;9;10;https://open.spotify.com/artist/5jHALTUJMAFsdqdbxzXWEw;https://i.scdn.co/image/ab6761610000e5eb58e2abc68466c2cb0f399855;https://i.scdn.co/image/ab6761610000517458e2abc68466c2cb0f399855;https://i.scdn.co/image/ab6761610000f17858e2abc68466c2cb0f399855;2022-01-26 00:58:40.954736
5jLU38iTkXJNDjEddClnVK;sobrenadar;;16;3387;20;34;https://open.spotify.com/artist/5jLU38iTkXJNDjEddClnVK;https://i.scdn.co/image/ab6761610000e5eb698b3e86aae691044b9ad53e;https://i.scdn.co/image/ab67616100005174698b3e86aae691044b9ad53e;https://i.scdn.co/image/ab6761610000f178698b3e86aae691044b9ad53e;2022-01-26 00:59:08.685190
5jN2wYqhUCltMC9RnxavSa;mirtha defilpo;;9;84;3;6;https://open.spotify.com/artist/5jN2wYqhUCltMC9RnxavSa;https://i.scdn.co/image/ab67616d0000b273b1cc74276570e22bf99dd9af;https://i.scdn.co/image/ab67616d00001e02b1cc74276570e22bf99dd9af;https://i.scdn.co/image/ab67616d00004851b1cc74276570e22bf99dd9af;2022-01-26 00:59:23.196937
5jPlzqqpBN7tO1jomJbx6V;interama;;3;363;4;4;https://open.spotify.com/artist/5jPlzqqpBN7tO1jomJbx6V;https://i.scdn.co/image/ab67616d0000b27309dda35089f022fe970dfff6;https://i.scdn.co/image/ab67616d00001e0209dda35089f022fe970dfff6;https://i.scdn.co/image/ab67616d0000485109dda35089f022fe970dfff6;2022-01-26 00:59:38.353251
5jVAiyKKCCEtFezqetZc82;buen augurio;;0;54;1;1;https://open.spotify.com/artist/5jVAiyKKCCEtFezqetZc82;https://i.scdn.co/image/ab6761610000e5eb456e025b414d3550b2e13a7d;https://i.scdn.co/image/ab67616100005174456e025b414d3550b2e13a7d;https://i.scdn.co/image/ab6761610000f178456e025b414d3550b2e13a7d;2022-01-26 00:59:45.209682
5jWSSTdZoJjEjsrlPflz93;algarroba.com;;31;4497;2;5;https://open.spotify.com/artist/5jWSSTdZoJjEjsrlPflz93;https://i.scdn.co/image/ab6761610000e5ebc37b833feb0faf83cd4569d8;https://i.scdn.co/image/ab67616100005174c37b833feb0faf83cd4569d8;https://i.scdn.co/image/ab6761610000f178c37b833feb0faf83cd4569d8;2022-01-26 00:59:58.162736
